	chioceA	choiceB	choiceC	choiceD	answer	sep_choiceA	sep_choiceB	sep_choiceC	sep_choiceD
2009	Mechanical weathering is a end result of a wind turbines 	Mechanical weathering is a end result of a solar panel 	Mechanical weathering is a end result of a shad tree mechanic 	Mechanical weathering is a end result of a giant ice river	D	 wind turbines 	 solar panel 	 shad tree mechanic 	 giant ice river
2010	the gravitational pull between two objects increases as they are spun around 	the gravitational pull between two objects increases as they are brought together 	the gravitational pull between two objects increases as they are exposed to light 	the gravitational pull between two objects increases as they are moved apart	B	 spun around 	 brought together 	 exposed to light 	 moved apart
2011	If a bird is moving through the sky, someone wanting to know the speed would speedily enjoy viewing 	If a bird is moving through the sky, someone wanting to know the speed would observe quickness 	If a bird is moving through the sky, someone wanting to know the speed would watch slowly 	If a bird is moving through the sky, someone wanting to know the speed would look away	B	 speedily enjoy viewing 	 observe quickness 	 watch slowly 	 look away
2012	Redwoods are supported by donations from the environmental protection agency 	Redwoods are supported by very large and thick trunks 	Redwoods are supported by twenty chainsaw wielding psychopaths 	Redwoods are supported by industrial plants near the ocean	B	 donations from the environmental protection agency 	 very large and thick trunks 	 twenty chainsaw wielding psychopaths 	 industrial plants near the ocean
2013	A series of horrible earthquakes can effect deer populations by forcing relocation 	A series of horrible earthquakes can effect deer populations by forcing planting seeds 	A series of horrible earthquakes can effect deer populations by forcing breeding 	A series of horrible earthquakes can effect deer populations by forcing studying	A	 relocation 	 planting seeds 	 breeding 	 studying
2014	Due to the wobble of the earth it has four different visitors 	Due to the wobble of the earth it has four different locations 	Due to the wobble of the earth it has four different time zones 	Due to the wobble of the earth it has four different seasons	D	 visitors 	 locations 	 time zones 	 seasons
2015	If a hill has a sharp decline on a side, water will first run down a flat edge 	If a hill has a sharp decline on a side, water will first run down sharpest side 	If a hill has a sharp decline on a side, water will first run down everywhere 	If a hill has a sharp decline on a side, water will first run down a softer side	B	 a flat edge 	 sharpest side 	 everywhere 	 a softer side
2016	Which would likely be a chemical reaction an ember 	Which would likely be a chemical reaction oil and water 	Which would likely be a chemical reaction steel and iron 	Which would likely be a chemical reaction play dog	A	 an ember 	 oil and water 	 steel and iron 	 play dog
2017	Before their trip to the Amazon Bill and Jane had sharp metal objects stuck into their arms by a doctor. they were getting ice water injected so they would stay cool in the Amazon 	Before their trip to the Amazon Bill and Jane had sharp metal objects stuck into their arms by a doctor. they wanted to avoid contracting something 	Before their trip to the Amazon Bill and Jane had sharp metal objects stuck into their arms by a doctor. aliens performed experiments on them 	Before their trip to the Amazon Bill and Jane had sharp metal objects stuck into their arms by a doctor. they wanted to catch the flu	B	 they were getting ice water injected so they would stay cool in the Amazon 	 they wanted to avoid contracting something 	 aliens performed experiments on them 	 they wanted to catch the flu
2018	Animal rights activists are against people going into forests to live and build things because that will lead to animals homes being shoes 	Animal rights activists are against people going into forests to live and build things because that will lead to animals homes being enabled 	Animal rights activists are against people going into forests to live and build things because that will lead to animals homes being TV 	Animal rights activists are against people going into forests to live and build things because that will lead to animals homes being taken away	D	 shoes 	 enabled 	 TV 	 taken away
2019	If a body has nutriment running through all of it, then the thing responsible for moving it around is arteries 	If a body has nutriment running through all of it, then the thing responsible for moving it around is lungs 	If a body has nutriment running through all of it, then the thing responsible for moving it around is knees 	If a body has nutriment running through all of it, then the thing responsible for moving it around is eyes	A	 arteries 	 lungs 	 knees 	 eyes
2020	Deer are most likely to give a wide berth to a personal garden 	Deer are most likely to give a wide berth to a field of alfalfa 	Deer are most likely to give a wide berth to a cool mountain stream 	Deer are most likely to give a wide berth to a decomposing body	D	 personal garden 	 field of alfalfa 	 cool mountain stream 	 decomposing body
2021	A thing which ferns have in endless supply when expanding is oil 	A thing which ferns have in endless supply when expanding is dirt 	A thing which ferns have in endless supply when expanding is darkness 	A thing which ferns have in endless supply when expanding is castor	B	 oil 	 dirt 	 darkness 	 castor
2022	Amphibians undergo changes in structure of being in that salamanders can regrow their tails 	Amphibians undergo changes in structure of being in that salamanders can lose their tails 	Amphibians undergo changes in structure of being in that frogs can breathe air and water 	Amphibians undergo changes in structure of being in that they begin as a different looking being	D	 salamanders can regrow their tails 	 salamanders can lose their tails 	 frogs can breathe air and water 	 they begin as a different looking being
2023	Dirt is moved from one part of a forest to another, and travels across a field to get there. The movement is caused by gusts 	Dirt is moved from one part of a forest to another, and travels across a field to get there. The movement is due to clouds 	Dirt is moved from one part of a forest to another, and travels across a field to get there. The movement is made by trees 	Dirt is moved from one part of a forest to another, and travels across a field to get there. The movement is because of litter	A	 caused by gusts 	 due to clouds 	 made by trees 	 because of litter
2024	A compass uses natural magnetism so it works only because the world is positive 	A compass uses natural magnetism so it works only because the world is wet 	A compass uses natural magnetism so it works only because the Earth is fat 	A compass uses natural magnetism so it works only because the Earth yanks it	D	 the world is positive 	 the world is wet 	 the Earth is fat 	 the Earth yanks it
